long,lat,id,nombre,anio_de_in,tipo,cantidad,ubicacion,clasificac,calle,altura,calle2,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.409851024509,-34.6291549713216,308,ESC. PRIMARIA COMUN NÂ° 07 OLEGARIO VICTOR ANDRADE,2018,1,4,VIA PUBLICA,Universidades - Colegios,24 DE NOVIEMBRE,1536,,San Cristobal,Comuna 3,1242,C1242AAH
-58.4549457128666,-34.5558909699303,309,ESC. NORMAL SUPERIOR NÂ° 10 JUAN BAUTISTA ALBERDI (ANEXO),2013,4U,1,VIA PUBLICA,ESCUELAS,3 DE FEBRERO,2463,,Belgrano,Comuna 13,1428,C1428AHM
-58.511116731135,-34.6463149653508,310,ESC. DE COMERCIO NÂ° 32 JOSE LEON SUAREZ (ANEXO),2013,4U,1,VIA PUBLICA,ESCUELAS,ACASSUSO,6138,,Liniers,Comuna 9,1408,C1408FDV
-58.4438089688603,-34.5891080434042,311,ESC. TECNICA NÂ° 34 ING. ENRIQUE MARTIN HERMITTE,2013,4U,1,VIA PUBLICA,ESCUELAS,AGUIRRE,1473,,Chacarita,Comuna 15,1414,C1414ATC
-58.4328214333655,-34.6481389384192,312,ESCUELA MEDIA NÂ°3,2013,4U,1,VIA PUBLICA,ESCUELAS,"VEDIA, AGUSTIN DE",2519,,Flores,Comuna 7,1437,C1437ANK
-58.488246059062,-34.6566621420334,313,ESC. PRIMARIA COMUN NÂ° 19 CAJA NACIONAL DE AHORRO Y SEGURO,2013,4U,1,VIA PUBLICA,ESCUELAS,ALBARIÃ‘O,2062,,Mataderos,Comuna 9,,
-58.5037505759283,-34.6294353523743,315,ESC. DE DANZAS NÂ° 02 JORGE DONN,2013,4U,1,INTERIOR,ESCUELAS,"MAGARIÃ‘OS CERVANTES, A.",5068,,Velez Sarsfield,Comuna 10,,
-58.4350147578764,-34.5797843327663,316,ESC. DE COMERCIO NÂ° 31 NACIONES UNIDAS,2013,4U,1,INTERIOR,ESCUELAS,"CARRANZA, ANGEL JUSTINIANO",2045,,Palermo,Comuna 14,1414,C1414COY
-58.4803043144724,-34.6775029538566,317,ESC. DE COMERCIO NÂ° 12 JUAN XXIII,2013,4U,1,INTERIOR,ESCUELAS,AQUINO,6040,,Villa Lugano,Comuna 8,1439,C1439AEF
-58.3800457786383,-34.641273621788,318,LICEO NÂ°3 / ESC NORMAL SUP. NÂ°5,2013,4U,1,INTERIOR,ESCUELAS,ARCAMENDIA,743,,Barracas,Comuna 4,1274,C1274AAC
-58.5101776332734,-34.5794967075179,319,ESC. DE EDUCACION MEDIA NÂ° 01/16Â° RODOLFO WALSH,2013,4U,1,VIA PUBLICA,ESCUELAS,ARGERICH,5651,,Villa Pueyrredon,Comuna 12,1419,C1419DCC
-58.4671273344317,-34.6226749957538,320,CFP NÂ° 24,2013,4U,1,INTERIOR,ESCUELAS,"ARTIGAS, JOSE GERVASIO, GRAL.",690,,Flores,Comuna 7,1406,C1406ABJ
-58.3928863678678,-34.6347933738461,321,ESC. PRIMARIA COMUN NÂ° 18 JUAN ENRIQUE PESTALOZZI,2013,4U,1,VIA PUBLICA,ESCUELAS,CASEROS AV.,2152,,Parque Patricios,Comuna 4,1264,C1264AAO
-58.4215724290133,-34.6399691098608,322,ESC. PRIMARIA COMUN NÂ° 05 PROVINCIA DE CORRIENTES,2013,4U,1,VIA PUBLICA,ESCUELAS,CASEROS AV.,4050,,Nueva Pompeya,Comuna 4,1263,C1263AAW
-58.4055432610872,-34.612992873338,323,ESC. TECNICA NÂ° 26 CONFEDERACION SUIZA,2017,1U,8,VIA PUBLICA,ESCUELAS,JUJUY AV.,255,,Balvanera,Comuna 3,1083,C1083AAC
-58.3772195860865,-34.630043205693,324,ESC. TECNICA NÂ° 04 REPUBLICA DEL LIBANO,2013,4U,1,VIA PUBLICA,ESCUELAS,"MONTES DE OCA, MANUEL AV.",121,,Barracas,Comuna 4,1270,C1270AAB
-58.4059157163242,-34.5928590044263,325,LICEO NÂ° 01 JOSE FIGUEROA ALCORTA,2013,4U,1,VIA PUBLICA,ESCUELAS,SANTA FE AV.,2778,,Recoleta,Comuna 2,1425,C1425BGP
-58.5087959705377,-34.6216092690906,326,ESC. DE COMERCIO NÂ° 33 MAIPU,2013,4U,1,VIA PUBLICA,ESCUELAS,ALVAREZ JONTE AV.,5075,,Monte Castro,Comuna 10,1407,C1407GPE
-58.4195159908344,-34.615714791258,327,ESC. PRIMARIA COMUN NÂ° 18 DR. ANTONIO BERMEJO,2013,4U,1,VIA PUBLICA,ESCUELAS,BELGRANO AV.,3767,,Almagro,Comuna 5,1210,C1210AAF
-58.4163288498934,-34.6366278676781,328,ESC. PRIMARIA COMUN NÂ° 23 PROVINCIA DE ENTRE RIOS,2013,4U,1,VIA PUBLICA,ESCUELAS,BOEDO AV.,1935,,Boedo,Comuna 5,1239,C1239AAJ
-58.4166899176608,-34.620470990749,329,ESC. PRIMARIA COMUN NÂ° 22 MARTINA SILVA DE GURRUCHAGA,2013,4U,1,VIA PUBLICA,ESCUELAS,BOEDO AV.,657,,Almagro,Comuna 5,1218,C1218AAC
-58.4163342646151,-34.6218166043815,330,ESC. TECNICA NÂ° 29 RECONQUISTA DE BUENOS AIRES,2013,4U,1,INTERIOR,ESCUELAS,BOEDO AV.,760,,Boedo,Comuna 5,1218,C1218AAQ
-58.4900644618941,-34.6463174385521,331,ESC. PRIMARIA COMUN NÂ° 24 SARA DE ELIA DE GIMENEZ,2013,4U,1,VIA PUBLICA,ESCUELAS,BRUIX AV.,4620,,Parque Avellaneda,Comuna 9,1407,C1407IKY
-58.4362735063637,-34.5747989684552,332,ESC. TECNICA NÂ° 03 MARIA SANCHEZ DE THOMPSON (SEDE),2013,4U,1,INTERIOR,ESCUELAS,CABILDO AV.,40,,Palermo,Comuna 14,1426,C1426AAN
-58.4549006713908,-34.6301510298252,333,LICEO NÂ° 05 PASCUAL GUAGLIANONE,2013,4U,1,INTERIOR,ESCUELAS,CARABOBO AV.,286,,Flores,Comuna 7,1406,C1406DGP
-58.471589716574,-34.6657255990522,334,ESC. PRIMARIA COMUN NÂ° 15 REPUBLICA ARGENTINA,2013,4U,1,VIA PUBLICA,ESCUELAS,CASTAÃ‘ARES AV.,4689,,Villa Lugano,Comuna 8,,
-58.5021474758442,-34.6666740853675,335,ESC. PRIMARIA COMUN NÂ° 11 EMILIO VON BEHRING,2013,4U,1,VIA PUBLICA,ESCUELAS,"CARDENAS, CNEL. AV.",2652,,Mataderos,Comuna 9,1440,C1440EJP
-58.4758759021939,-34.6873133356524,336,ESC. PRIMARIA COMUN NÂ° 13 DR. ALFREDO LANARI,2013,4U,1,VIA PUBLICA,ESCUELAS,PIEDRA BUENA AV.,4863,,Villa Riachuelo,Comuna 8,1439,C1439GWF
-58.395121456163,-34.5995816626933,337,ESC. NORMAL SUPERIOR NÂ° 01 EN LENGUAS VIVAS PRESIDENTE R. SAENZ PEÃ‘A,2013,4U,1,INTERIOR,ESCUELAS,CORDOBA AV.,1951,,Recoleta,Comuna 2,1120,C1120AAB
-58.4558990819598,-34.5429041704118,338,ESC. DE EDUCACION MEDIA NÂ° 03/10Â°,2013,4U,1,INTERIOR,ESCUELAS,"SANCHEZ, MIGUEL B. AV.",1050,,NuÃ±ez,Comuna 13,,
-58.5043666632219,-34.6661899086701,339,ESC. PRIMARIA COMUN NÂ° 14 ISLAS MALVINAS,2013,4U,1,VIA PUBLICA,ESCUELAS,DE LOS CORRALES AV.,7040,,Mataderos,Comuna 9,1440,C1440BBT
-58.4676130283336,-34.5901467523265,340,ESC. DE COMERCIO NÂ° 24 DR. DALMACIO VELEZ SARSFIELD,2013,4U,1,INTERIOR,ESCUELAS,DEL CAMPO AV.,1340,,Paternal,Comuna 15,1427,C1427APN
-58.3773104908004,-34.5917424013623,341,ESC. TECNICA NÂ° 12 LIBERTADOR GRAL. JOSE DE SAN MARTIN,2013,4U,1,INTERIOR,ESCUELAS,DEL LIBERTADOR AV.,238,,Retiro,Comuna 1,1001,C1001ABP
-58.466360490693,-34.536355972869,342,ESC. TECNICAS RAGGIO,2013,4U,1,INTERIOR,ESCUELAS,DEL LIBERTADOR AV.,8635,,NuÃ±ez,Comuna 13,1429,C1429BNG
-58.4189635680704,-34.5647525899983,343,INST. SUPERIOR DEL PROF. DE EDUC. INICIAL SARA CHAMBERLAIN DE ECCLESTON (SEDE),2013,4U,1,INTERIOR,ESCUELAS,DORREGO AV.,3751,,Palermo,Comuna 14,1425,C1425GBB
-58.3918182187266,-34.6175942843708,344,ESC. DE EDUCACION MEDIA NÂ° 01/03Â°,2013,4U,1,INTERIOR,ESCUELAS,ENTRE RIOS AV.,757,,Balvanera,Comuna 3,1080,C1080ABB
-58.4701799780124,-34.6645062491408,345,ESC. DE COMERCIO NÂ° 06 AMERICA,2013,4U,1,INTERIOR,ESCUELAS,ESCALADA AV.,2890,,Villa Lugano,Comuna 8,1439,C1439FHN
-58.4499314956642,-34.6095388447994,346,ESC. SUPERIOR DE COMERCIO NÂ° 03 HIPOLITO VIEYTES,2013,4U,1,INTERIOR,ESCUELAS,GAONA AV.,1502,,Caballito,Comuna 6,1416,C1416DRQ
-58.4164975355974,-34.581711515116,347,ESC. TECNICA DE JARDINERIA CRISTOBAL M. HICKEN,2013,4U,1,INTERIOR,ESCUELAS,LAS HERAS GENERAL AV.,4078,,Palermo,Comuna 14,1425,C1425ATR
-58.4209040638889,-34.6559145711526,348,ESC. TECNICA NÂ° 33 FUNDICION MAESTRANZA DEL PLUMERILLO,2013,4U,1,INTERIOR,ESCUELAS,"RABANAL, FRANCISCO, INTENDENTE AV.",1549,,Nueva Pompeya,Comuna 4,1437,C1437FPC
-58.4287547836358,-34.659440625042,349,ESC. PRIMARIA COMUN NÂ° 08 LUIS FEDERICO LELOIR,2013,4U,1,VIA PUBLICA,ESCUELAS,"RABANAL, FRANCISCO, INTENDENTE AV.",2275,,Villa Soldati,Comuna 8,1437,C1437FPJ
-58.4343806255642,-34.661998024265,350,ESC. PRIMARIA COMUN NÂ° 14 CAPITANA MARIA REMEDIOS DEL VALLE,2013,4U,1,VIA PUBLICA,ESCUELAS,"RABANAL, FRANCISCO, INTENDENTE AV.",2751,,Villa Soldati,Comuna 8,1437,C1437FQB
-58.4350880949441,-34.6221182290406,351,LICEO NÂ° 12 FRAY MAMERTO ESQUIU,2013,4U,1,INTERIOR,ESCUELAS,"MORENO, JOSE MARIA AV.",345,,Caballito,Comuna 6,1424,C1424AAD
-58.4929670517345,-34.6438854666628,352,ESC. DE BELLAS ARTES ROGELIO YRURTIA,2013,4U,1,INTERIOR,ESCUELAS,"ALBERDI, JUAN BAUTISTA AV.",4754,,Parque Avellaneda,Comuna 9,1407,C1407HAO
-58.4200553217829,-34.6319443751213,353,ESC. PRIMARIA COMUN NÂ° 26 REPUBLICA DE COLOMBIA,2013,4U,1,VIA PUBLICA,ESCUELAS,"GARAY, JUAN DE AV.",3972,,Boedo,Comuna 5,1256,C1256ABV
-58.4265104184024,-34.6274904828868,354,ESC. PRIMARIA COMUN NÂ° 06 SAN JOSE DE CALASANZ,2013,4U,1,VIA PUBLICA,ESCUELAS,LA PLATA AV.,1038,,Boedo,Comuna 5,1250,C1250AAN
-58.4442666939498,-34.6583063726785,355,ESC. PRIMARIA COMUN NÂ° 16 WILLIAM C. MORRIS,2013,4U,1,VIA PUBLICA,ESCUELAS,LAFUENTE,2670,,Villa Soldati,Comuna 8,1437,C1437BUQ
-58.4994261829897,-34.6537372408197,356,ESC. PRIMARIA COMUN NÂ° 03 EDUARDO LADISLAO HOLMBERG,2013,4U,1,VIA PUBLICA,ESCUELAS,LARRAZABAL,1556,,Mataderos,Comuna 9,1440,C1440CUU
-58.4722891915713,-34.6764586078826,357,ESC. PRIMARIA COMUN NÂ° 03 CRISTOBAL COLON,2013,4U,1,VIA PUBLICA,ESCUELAS,LARRAZABAL,4051,,Villa Lugano,Comuna 8,1439,C1439EDC
